songs,artists,lyrics,length
Prove Your Love,Taylor Dayne,"prove love got prove love hear got know true telling trust believe promised much talk cheap tell serious gotta know sure say much want i've heard (prove love, gotta prove love want tonite show stuff , cause word enough want hear body talk mine) boy feel love rise message revealed eye know can't wait know passion late take action say i'll know love well, baby i've patient, i'm ready find chorus tell serious gotta know sure say want i've heard prove love gotta prove love want tonight show stuff, cause word enough want hear body repeat",1003
Look Away,Chicago,"called morning told new love found said ""i'm happy i'm really happy you"" found someone else guess coming around guess over, baby really over, baby, whoa... saying know gotten it'll never way used got way worry, baby, take news okay see walking tear eye look away, baby, look away meet street someday know say look away, baby, look away look want see way agreed lover better friend that's yeah, that's tell i'm fine sometimes pretend wish holding wish still holding me, whoa... never thought would replaced soon prepared hear word know wanted free yeah, baby, wanted see walking tear eye look away, baby, look away meet street someday know say look away, baby, look away look want see way see walking tear eye look away, baby, look away meet street someday know say look away, baby, look away look want see see walking tear eye look away, baby, look away look want see called morning told new love found said ""i'm happy i'm really happy you""",1721
My Prerogative,Bobby Brown,"get busy! everybody's talkin' stuff (now now) let live? (ooh) need permission, make decision (oh!) that's prerogative say i'm crazy, really care that's prerogative say i'm nasty, give damn gettin' girl live ask questions, real? understand really know deal brother tryin' hard make right long ago, win fight (sing) everybody's talkin' stuff let live? (tell why) need permission, make decision (oh!) that's prerogative way wanna live (it's prerogative) feel (it's prerogative) one tell (it's prerogative) 'cause i'm doing, i'm you, get wrong, i'm really souped ego trip thing strange relationship really get see nothing wrong spreadin' around (sing) everybody's talkin' stuff (yeah) let live? (tell why) need permission, make decision that's prerogative prerogative (it's prerogative) wanna (it's prerogative) live life (it's prerogative) i'm (it's prerogative) tell me, tell me, can't live life (live life) without thing people say? yo teddy, kick like oh, no, wanna together, together, together, together, together everybody's talkin' stuff (everybody's talkin') let live? (why let live, girl?) need permission, make decision (i need permission nobody) that's prerogative everybody's talkin' stuff (everybody's talkin') let live? (now) need permission, make decision that's prerogative this, blizzard, can't money pocket people talk me? world trip; know what's goin' day got person talkin' me, person ay, listen, let tell somethin', prerogative wanna made money, didn't; right, ted? outta here! my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my...woo! prerogative, my... my, my, my, prerogative, can't see, baby doll? ha, wanna talk me? tell me, tell why...",2657
Every Rose Has Its Thorn,Poison,"lie silently still dead night although lie close together feel mile apart inside something said something did? word come right? though tried hurt you, though tried guess that's say every rose thorn like every night dawn like every cowboy sings sad, sad song every rose thorn, yeah, listen favorite song playing radio hear dj say, ""love's game easy come easy go"" wonder, know? ever felt like this? know right could let know somehow, guess every rose thorn like every night dawn like every cowboy sings sad, sad song every rose thorn though still feel much pain like knife cut you, wound heals scar, scar remains know could saved love night i'd known say instead making love made separate way hear found somebody new never meant much hear tear inside see cut like knife, guess every rose thorn like every night dawn like every cowboy sings sad, sad song every rose thorn",1345
Straight Up,Paula Abdul,"lost dream know way go (ah-let say now) seem baby, i'm movin' (movin') way slow i've fool like get love caught slammin' door information, please? straight up, tell really wanna love forever? (oh, oh, oh) caught hit-and-run? straight up, tell gonna together? (oh, oh, oh) havin' fun? time's standing still waiting small clue (ah-let tell ya now) keep getting chill think love (when think love) true i've fool like get love caught slammin' door information, please? straight up, tell really wanna love forever? (oh, oh, oh) caught hit-and-run? straight up, tell gonna together? (oh, oh, oh) havin' fun? hard read play hide-and-seek true intention playin' game i'll say abb-b-b-bye, b-b-b-bye do, love me? (do, love me, baby?) do, love me? (do, love me? ah-hey, baby!) do, love me? (do, love me, baby?) c'mon now, do, love me? (do, love me?) ah-tell me, baby i've fool like get love caught slammin' door hot page history book? mean make demand word deed go hand hand information, please? (please, please, ah, please, please) straight up, tell (tell me) straight up, tell (tell me) straight up, tell (tell me) straight up, tell straight up, tell straight up, tell really wanna love forever? (oh, oh, oh) caught hit-and-run? straight up, tell gonna together? (oh, oh, oh) havin' fun? straight up, tell really wanna love forever? (oh, oh, oh) caught hit-and-run? tell gonna together? (oh, oh, oh) havin' fun?",2177
Miss You Much,Janet Jackson,"shot like arrow going heart that's pain feel feel whenever we're apart say i'm love who's say i'm know feel wrong i'm away long make body hot let tell ya baby i'll tell mama i'll tell friend i'll tell anyone whose heart comprehend send letter baby tell phone i'm kinda girl like alone miss ya much boy-oh-i miss much really miss much m-i-s-s much miss ya much boy-oh-i miss much baby, really miss much m-i-s-s much i'm rushing home soon i'm rushing home see smiling face feel warm embrace make f-feel g-g-g good i'll tell baby i'll tell mama i'll tell friend i'll tell anyone whose heart comprehend send letter baby tell phone i'm kinda girl like alone miss ya much boy-oh-i miss much really miss much m-i-s-s much miss ya much boy-oh-i miss much baby, really miss much m-i-s-s much miss ya much boy-oh-i miss much really miss much m-i-s-s much miss ya much boy-oh-i miss much baby, really miss much m-i-s-s much miss much miss much really really miss much miss much miss much i'm ashamed tell world miss i'll tell mama i'll tell friend i'll tell anyone whose heart comprehend send letter baby tell phone i'm kinda girl like alone miss ya much boy-oh-i miss much really miss much m-i-s-s much miss ya much boy-oh-i miss much baby, really miss much m-i-s-s much miss ya much boy-oh-i miss much really miss much m-i-s-s much miss ya much boy-oh-i miss much baby, really miss much m-i-s-s much that's end?",1922
Cold Hearted,Paula Abdul,"he's cold-hearted snake look eyes, uh-oh he's tellin' lie he's lover boy play play rules, uh-oh girl, play fool, one givin' love anytime need turn back he's runnin' crowd one sacrifice anything please really think think he's out? he's cold-hearted snake look eyes, uh-oh he's tellin' lie he's lover boy play play rules, uh-oh girl, play fool, late last night sneakin' called check waiting phone world's candy store he's trick treatin' come true love, girl, there's one home he's cold-hearted snake look eyes, uh-oh he's tellin' lie he's lover boy play play rules, uh-oh girl, play fool, could find somebody better girl could make cry deserve somebody better girl he's c-cold ice he's cold ice he's cold ice stay away him, girl c-c-c-cold-hearted, ooh-ah-ah c-c-c-cold-hearted, snnnnnake c-c-c-cold-hearted, ooh-ah-ah c-c-c-cold-hearted, snnnnnake he's cold-hearted snake look eyes, uh-oh he's tellin' lie he's lover boy play play rules, uh-oh girl, play fool ooh, ahh, look eye ooh, ahh, he's tellin' lie ooh, ahh, play rule ooh, ahh, girl, play fool he's cold-hearted snake look eyes, uh-oh he's tellin' lie he's lover boy play play rules, uh-oh girl, play fool he's cold-hearted snake look eyes, uh-oh he's tellin' lie",1775
Wind Beneath My Wings,Bette Midler,"oh, oh, oh, oh must cold shadow never sunlight face content let shine, that's way always walked step behind one glory one strength beautiful face without name long beautiful smile hide pain ever know hero everything would like be? fly higher eagle wind beneath wing might appeared go unnoticed i've got heart want know, know truth, course know would nothing without ever know hero? everything wish could could fly higher eagle wind beneath wing ever tell hero? everything, everything wish could oh, i, could fly higher eagle wind beneath wing cause wind beneath wing oh, wind beneath wing you, you, you, wind beneath wing fly, fly, fly away, let fly high oh, you, you, you, wind beneath wing oh, you, you, you, wind beneath wing fly, fly, high sky high almost touch sky thank you, thank thank god you, wind beneath wing",1343
Girl You Know It's True,Milli Vanilli,"back? well, sat back thought thing used really meant lot mean lot really mean much you? girl, know true i'm love you, girl, cause mind one think every time crack smile everything understand, girl? love true you’re soft, silky hand long, sweet thin candlelight complexion upon skin lightens day, that's oh true together, we're one, separated we're two make mine, mine desire cause contain quality admire pretty plain simple, rule world try understand i'm love, girl i'm love, girl i'm love, girl true girl, know true ooh, ooh, ooh, love yes, know true ooh, ooh, ooh, love girl, know true love girl, know true love sort thing, girl, can't explain emotion start hear name maybe sweet sweet voice would ring ear delay system, girl, near come positive emotion, love, making enjoyin that's bust like girl boy feeling get often wonder thought might discus this, girl, wearing care, i've said reason like you, girl, said i'd think it, rule world try understand i'm love, girl i'm love, girl i'm love, girl true girl, know true ooh, ooh, ooh, love yes, know true ooh, ooh, ooh, love girl, know true love girl, know true love i'm love wit' you, girl i'm love wit' you, girl, girl, girl, girl i'm love wit' you, i'm love wit' i'm love wit' girl, know true love girl, know true (g-g-g-girl) ooh, ooh, ooh, love yes, know true (g-g-g-g-girl) ooh, ooh, ooh, love",2141
"Baby, I Love Your Way/Freebird Medley",Will to Power,"shadow grow long eye they're moving across page suddenly day turn night far away city hesitate 'cause love love wait, oh (ooh) baby, love way every day (ooh) wanna tell love way every day (ooh) wanna night day hey, love way leave tomorrow would still remember me? must traveling there's many place i've gotta see stayed girl thing 'cause i'm free bird bird never change bird never change shadow grow long eye help firefly wonder power shine see pine hesitate 'cause love love wait ooh, baby love way (every day) (ooh) wanna tell love way (night day) oh, baby, love way (every day) every day ooh wanna tell love way (night day, night day) love way ooh, baby love way ('cause i'm free bird now) give way wanna tell love way (a free bird now) ooh baby love way ooh, baby love way (every day) ooh, wanna tell love way (night day) ooh, baby love way (every day, every day) ooh, wanna tell love way (night day, night day, oh) ooh, baby love way (night day)",1453
Giving You the Best That I Got,Anita Baker,"ain't something give you? exchange everything give read mind make feel fine think peace mind reach scale sometimes unbalanced bear weight hope see lean together calm stormy sea love strong unselfishly tell made vow i'm giving best got, baby yes, tell made vow i'm giving best got, honey everybody's got opinion 'bout way think story's gonna end folk feel superficial thrill everybody's gonna think love strong unselfishly bother i'm gonna keep giving best got, baby bother said i'm gonna keep giving best got listen, baby somebody understands somebody gave heart stumbled whole life long always i'm home weary mind rested feel home arm fear gone like sound song think want sing forever love strong unselfishly made vow tell i'm giving best got listen, baby bet everything wedding ring i'm...giving best got giving you, baby giving best got giving best got giving best got giving best got",1493
Right Here Waiting,Richard Marx,"ocean apart, day day slowly go insane hear voice line stop pain see next never say forever? wherever go, whatever right waiting whatever take heart break right waiting took granted, time thought would last somehow hear laughter, taste tear can't get near oh, can't see it, baby got going crazy wherever go, whatever right waiting whatever take heart break right waiting wonder survive romance end i'm i'll take chance oh, can't see it, baby got going crazy wherever go, whatever right waiting whatever take heart break right waiting waiting",963
Waiting For a Star to Fall,Boy Meets Girl,"hear name whispered wind sound make cry hear song blow mind know wish feel strong like happiness love revolve around trying catch heart like trying catch star many people love you, baby must waiting star fall carry heart arm that's belong arm baby, yeah i've learn feel cannot see you, lose vision know dream dream i'm caught superstition want reach pull say let wild one go free trying catch heart like trying catch star can't love much, baby love far waiting star fall carry heart arm that's belong arm baby, yeah waiting (however long) like waiting (i'll wait you) hard waiting (don't long) seems like waiting make love even waiting star fall carry heart arm that's belong arm baby, yeah",1169
Lost in Your Eyes,Debbie Gibson,"get lost eye feel spirit rise soar like wind love in? get weak glance what's called romance? know 'cause i'm lost, let go mind knowing i'm heading take sky like lost heaven i'm lost eye fell, know something's can't deny first knew first looked can't find way salvation seems world away ooh, i'll found lost eyes, woah-oh-oh mind knowing i'm heading take sky like lost heaven i'm lost eye get weak glance what's called romance? ooh, i'll found lost eye oh-oh",818
Don't Wanna Lose You,Gloria Estefan,"sometimes hard make thing clear know face truth know moment i'll open heart show inside love pride feel i've got nothing hide open eye see want myself, wanna lose we're gonna get somehow wanna lose ever baby, finally found courage stand ground want i'll around forever make mistake lose way stood test time hope that's way stay tell go 'cause walk away know know wanna lose we're gonna get somehow wanna lose ever, never baby, finally found courage stand ground want i'll around forever forever, yeah, yeah wanna lose lose we're gonna get somehow wanna lose wanna lose wanna lose",1075
Heaven,Warrant,"oh, thinkin' younger year young wild free nothin' take away we've road that's keep comin' back baby, want lyin' arm i'm findin' hard believe we're heaven love need found heart hard see we're heaven oh, life find someone turn world around bring feelin' yeah, nothin' could change mean oh, there's lot could say hold cause love light way baby want lyin' arm i'm finding hard believe we're heaven yeah, love need found heart hard see we're heaven, yeah i've waitin' long somethin' arrive love come along dream comin' true good time bad yeah, i'll standin' baby want lyin' arm i'm findin' hard believe we're heaven love need found heart hard see we're heaven, heaven, woah want need",1364
Girl I'm Gonna Miss You,Milli Vanilli,"knew start would break heart still play painful part wrapped round little bitty finger magic smile kept hangin' lover's cross awhile put spell me, took breath away nothin' could make stay, i'm gonna miss love feel nothing could make change point view oh, girl (oh, girl) i'm gonna miss you, baby givin' love feel make change point view leavin' i'm sittin' here, wastin' time know tragedy see dream never forget day met girl, i'm gonna miss like honey bee, took best can't erase memory like fairy tale, unreal left scar that's hard heal taste paradise back earth feel cold ice i'm gonna miss i'm gonna miss (i'm gonna miss you) miss givin' love feel make change point view leavin' i'm sittin' here, wastin' time know tragedy see dream never forget day met girl, i'm gonna miss tragedy see dream never forget day met girl, i'm gonna miss givin' love feel make change point view leavin' i'm sittin' here, wastin' time know tragedy see dream never forget day met girl, i'm gonna miss tragedy see dream never forget day met girl, i'm gonna miss",1797
The Look,Roxette,"one, two, three, four walkin' like man hitting like hammer juvenile scam never quitter tasty like raindrop got look heavenly bound 'cause heaven's got number spinnin' around kissin' color lovin' wild dog got look got look (she's got look) got look (she's got look) world make brown-eyed girl turn blue? everything i'll ever i'll go la la la la la got look fire ice naked t-bone lover's disguise bangin' head drum shakin' like mad bull got look swayin' band movin' like hammer miracle man lovin' ocean kissin' wet sand got look got look (she's got look) got look (she's got look) world make brown-eyed girl turn blue? everything i'll ever i'll go la la la la la got look ow! walkin' like man hitting like hammer juvenile scam never quitter tasted like raindrop got look go a-na na na na na na na na na na na na na na na na na na na na na na na na na na na na na got look got look (she's got look) got look (she's got look) world make brown-eyed girl turn blue? everything i'll ever i'll go la la la la la got look world make blue? everything i'll ever i'll go la la la la la na na na na na na na na na na na na na na na na na na na na na na na na na na na na na got look go na na na na na na na na na na na na na na na na na na na na na na na na na na na na na got look got look go na na na na na na na na na na na na na na na na na na na na na na na na na na na na na got look got look go na na na na na na na na na na na na na na na na na na na na na na na na na na na na na",2048
She Drives Me Crazy,Fine Young Cannibals,"can't stop way feel thing seem real tell got mind 'cause we're running time ever set free? waiting 'round's killing drive crazy like one else drive crazy can't help can't get rest people say i'm obsessed everything say lie me, there's surprise true thing go wrong, always drive crazy like one else drive crazy can't help make one like alone drive crazy like one else drive crazy can't help drive crazy like one else drive crazy can't help drive crazy like one else drive crazy can't help",807
On Our Own,Bobby Brown,"yeah.. want somethin' done gotta ow! uhh.. yeah think gonna another one funky one heart & soul, d-d-dance! you, me, want winning want something bad ya, gotta wanna give 'cause believe much know we're kidding feel me, yo, gotta want take ball find nothing given know card may fall know we've gotta get we've gotta make well, guess we're gonna take control (all own) us, we've got take home (all own) can't see need go-getter gotta make decisions, gotta go know come time lives, wanna bigger gotta keep, keep pushing, gotta learn take control, yeah find nothing given know card may fall know we've gotta get we've gotta make well, guess we're gonna take control (all own) us, we've got take home (all own) gotta, gotta, take home, gotta, gotta, gotta take home ow, uh heart & soul, d-d-dance! hot handle, cold hold they're called ghostbusters they're control 'em throwin' party bunch child slime building packed group, got grip, came equipped grabbed proton pack back split found vigo, master evil try battle boys? that's legal (oh-we-oh) they're control (oh-we-oh) y-y-ya know (all own) said they're control (oh-we-oh) y-y-ya know (oh-we-oh) y-y-ya know (all own) well, guess we're gonna take control (all own) got, got, got got, got, got us, we've got take home (all own) hot handle, cold hold, they're ghostbusters they're control well, guess we're gonna take control (all own) gotta, gotta, take home gotta, gotta take home us, we've got take home (all own) gotta, gotta, take home gotta, gotta, gotta take home (oh-we-oh) ow! (oh-we-oh) y-y-ya know (all own) (oh-we-oh) uh! (oh-we-oh) y-y-ya know (all own) hot handle, cold hold they're called ghostbusters they're control 'em throwin' party bunch child slime building packed group, got grip, came equipped grabbed proton pack back split found vigo, master evil try battle boys? that's legal they're control ya-ya-ya know said, they're in, control",2874
Two Hearts,Phil Collins,"well, reason believe she'd always put faith believe getting nowhere cause hurts, never let go look down, look cause always behind you, remind two hearts, believing one mind know we're two heart believing one mind cause there's easy way to, understand there's much life her, like i'm blinded teach never let go there's much love never know reach matter far wherever two hearts, believing one mind beating together till end time know we're two heart believing one mind together forever till end time know (she knows) always special place heart knows, knows, know yeah, know (she knows) matter far apart knows, i'm always right beside two hearts, believing one mind beating together till end time know we're two heart believing one mind together forever till end time two hearts, believing one mind beating together till end time know we're two heart believing one mind together forever till end time two hearts, believing one mind beating together till end time know we're two heart believing one mind together forever till end time",1471
Blame It on the Rain,Milli Vanilli,"(ooh, oh girl) blame rain (yeah, yeah) blame star (woo) said need told goodbye (goodbye) sacrificed good love satisfy pride wish still (had her) feel like fool let walk away feel gotta blame something (gotta blame something) gotta blame something blame rain falling, falling blame star shine night whatever do, put blame blame rain, yeah, yeah blame rain told sorry (sorry) coulda said wrong no, prove strong oh, blinded (blinded) might still want back feel gotta blame something (gotta blame something) gotta blame something blame rain falling, falling blame star shine night whatever do, put blame blame rain, yeah, yeah come blame rain 'cause rain mind rain care got blame something blame rain falling, falling blame star shine night whatever do, put blame blame rain, yeah, yeah blame rain (blame rain, yeah, yeah) (blame rain, yeah, yeah) (blame rain, yeah, yeah) blame rain blame rain blame rain, baby (blame rain, yeah, yeah) blame star shine night (blame rain, yeah, yeah) blame it, blame rain whatever do, put blame blame rain, yeah, yeah gotta blame something gotta blame something blame rain falling, falling blame star shine night whatever do, put blame blame rain, yeah, yeah blame rain",2134
Listen to Your Heart,Roxette,"know there's something wake smile get notion look eyes, yeah built love, love fall apart little piece heaven turn dark listen heart he's calling listen heart there's nothing else know going know listen heart tell goodbye sometimes wonder fight worthwhile precious moment lost tide, yeah they're swept away, nothing seems feeling belonging dream listen heart he's calling listen heart there's nothing else know going know listen heart tell goodbye voice want heard much mention can't find word scent magic, beauty that's love wilder wind listen heart (take listen it) he's calling listen heart (take listen it) there's nothing else know going know listen heart before, uhh listen heart (take listen it) he's calling listen heart (take listen it) there's nothing else know going know listen heart tell goodbye listen heart listen heart (uhh, take listen it, ha-ha-aa) listen heart (take a, take listen it) listen heart listen heart listen heart listen heart listen heart listen heart listen heart listen heart",1749
I'll Be There for You,Bon Jovi,"guess time really leavin' heard suitcase say goodbye well broken heart lie bleedin' say true love suicide say cried thousand river swimmin' shore left drownin' tear save anymore i'm prayin' god give one chance, girl i'll you, five word swear breathe want air you, i'll i'd live i'd die you, i'd steal sun sky word can't say love do, i'll know know we've good time hidin' place well, promise tomorrow can't buy back yesterday and, baby, know hand dirty (and baby know hand dirty) wanted valentine i'll water get thirsty, baby get drunk, i'll wine i'll you, five word swear breathe want air you, i'll i'd live i'd die you, i'd steal sun sky word can't say love do, i'll happy (and make happy) mean miss birthday, baby wish i'd seen blow candle i'll you, five word swear breathe want air you, i'll i'd live i'd die you, i'd steal sun sky word can't say love do, i'll i'll you, five word swear breathe want air you, i'll i'd live i'd die you, i'd steal sun sky word can't say love do, i'll woah, oh, oh, woah, oh, oh, woah, oh, oh, woah woah, oh, oh, woah, oh, oh, woah, oh, oh, woah woah, oh, oh, woah, oh, oh, woah, oh, oh, woah",2010
If You Don't Know Me by Now,Simply Red,"know never, never, never know me, uh-uh-uh things, we've understand like understand girl know difference right wrong ain't gonna nothing break happy home get excited come home little late night 'cause act like child argue, fuss fight know (if know me) never, never, never know (no won't), uh know never, never, never know me, uh-uh-uh we've got funny mood i've got mine, woman, got trust like trust long we've together easy get together might well say goodbye good love affair can't see eye eye know (if know me) never, never, never know (no won't), uh-uh-uh know (youuuu never, never, never know me) never, never, never know me, uh-uh-uh (uh) know (mmmmmmm) never, never, never know",1169
Like a Prayer,Madonna,"life mystery everyone must stand alone hear call name feel like home call name like little prayer i'm knee want take midnight hour feel power like prayer know i'll take hear voice like angel sighing choice hear voice feel like flying close eye oh god, think i'm falling sky close eye heaven, help call name like little prayer i'm knee want take midnight hour feel power like prayer know i'll take like child whisper softly control like child i'm dancing like dream end beginning like dream let choir sing call name like little prayer i'm knee wanna take midnight hour feel power like prayer know i'll take call name like little prayer i'm knee wanna take midnight hour feel power like prayer know i'll take life mystery everyone must stand alone hear call name feel like home like prayer voice take like muse mystery like dream seem like prayer, choice voice take like prayer, i'll take like dream (mmmm...) like prayer, i'll take (i'll take there) like dream (oh, oh-oh-oh yeah) like prayer, i'll take (i'll take there) like dream (oh yeah, yeah, yeah yeah yeah yeah) like prayer, i'll take (oh, yeah) like dream (oh, oh) like prayer voice take like muse mystery like dream seem like prayer, choice voice take like prayer voice take like muse mystery like dream seem like prayer, choice voice take voice take like prayer like prayer, voice take like prayer like prayer, voice take like prayer like prayer, voice take like prayer like prayer, voice take like prayer",2583
I'll Be Loving You (Forever),New Kids on the Block,"yeah i'm kind guy take broken heart ever leave, want see u part thought losing mean everything would go i'll loving forever (just long want be) i'll loving forever (all love's me) yeah (i'll loving you) i'll (i'll loving you) loving (the thing do) yeah, forever (i'll loving you) i'll (i'll loving you) loving yeah count blessing keep love new there's one million there's much wanna say look you, thought get way i'll loving forever (just long want be) i'll loving forever (all love's me) yeah (i'll loving you) i'll (i'll loving you) loving (the thing do) yeah, forever (i'll loving you) i'll (i'll loving you) loving yeah we've come far ever turn back love last forever see (i'll loving you) i'll (i'll loving you) loving (the thing do) yeah, forever (i'll loving you) i'll (i'll loving you) loving you, girl oh girl i'll loving (i'll loving you) (i'll loving you) loving girl (i'll loving you)",1327
How Can I Fall?,Breathe,"give time care moment's u share still heart always say you? could lie you? i'm weak face truth know make move say? fall? fall? give reason give reason faith gone fight carry yet, know harm say you? hold line know choice leave mine can't help feel inside say? i'll follow i'll see time far right i'll make move doubt way do? fall? fall? (how fall?) give reason give reason fall? fall? (how fall?) give reason give reason give reason give reason fall? fall, fall fall you? fall? fall? (how fall?) give reason give reason",1189
Baby Don't Forget My Number,Milli Vanilli,"okay okay, eddie one's baby, shy holding hand 'cause time go got understand (can dance you?) ba-ba-ba-baby, eye see clearly love strong never go wrong (eddie) best doubt needing someone baby, call line, call anytime (eddie) i'll (you, you) i've searching high (high, high) i've searching low (low, low) ba-ba-ba-ba, ba-ba-ba-ba-baby forget number ba-ba-ba-ba, ba-ba-ba-ba-baby love stronger thunder ba-ba-ba-ba, ba-ba-ba-ba-baby forget number love see i've searching high i've searching low wanna spend life ba-ba-ba-ba ba, ba-ba-ba-ba ba ba ba-ba-ba-ba ba, love see ba-ba-ba-baby, eye see clearly love strong never go wrong (eddie) best doubt needing someone baby, call line, call anytime (eddie) i'll (you, you) i've searching high i've searching low ba-ba-ba-ba, ba-ba-ba-ba-baby forget number ba-ba-ba-ba, ba-ba-ba-ba-baby love stronger thunder ba-ba-ba-ba, ba-ba-ba-ba-baby forget number love see i've searching high i've searching low wanna spend life ba-ba-ba-ba ba, ba-ba-ba-ba ba ba ba-ba-ba-ba ba, dance you? ba-ba-ba-ba ba, ba-ba-ba-ba ba ba ba-ba-ba-ba ba, love see baby (baby, baby) love stronger thunder ba-ba-ba-ba, ba-ba-ba-ba-baby (baby) forget number (number) love see eddie okay? know",1735
Toy Soldiers,Martika,"step step heart heart left, right, left fall like toy soldier intention mislead never way say? true extend invitation never knew long stay hear temptation call heart take take fall (won't come play me?) step step heart heart left, right, left fall like toy soldier bit bit torn apart never win battle wage toy soldier getting hard wake morning head spinning constantly be? could blind addiction? stop next one's gonna emptiness remains replaces pain (won't come play me?) step step heart heart left, right, left fall like toy soldier bit bit torn apart never win battle wage toy soldier (we never win) emptiness remains replaces pain (won't come play me?) step step heart heart left, right, left fall like toy soldier bit bit torn apart never win battle wage toy soldier step step heart heart left, right, left fall (all fall down, fall down) like toy soldier bit bit torn apart never win battle wage toy soldier",1390
Forever Your Girl,Paula Abdul,"hey baby gotta remember i'm forever girl baby, forever ever ever (you know am) baby, pick head (head up) come look face 'cause tell somethin' bringin' (why down?) rumour another boy want take place? (i hear he's heart) hearin' stories? they're goin' around (all friend talkin') baby, remember gave heart ain't one gonna tear u apart could promise moon star even promised world remember i'm forever girl could promise world gotta remember i'm forever girl honey, listen (to me) love need know need nothin' money buy (it's lie) boy come along try make leave (girl, i'd go mind) there'd need worry i'm tellin' (i need hear really love me) baby, know love ya? i'd never put nobody ya could promise moon star even promised world remember i'm forever girl could promise world gotta remember i'm forever girl i'm forever baby remember i'm forever girl could promise world hey baby, remember i'm forever girl mountain crumble sea that's day someone'll come baby, remember gave heart (tell me) ain't one gonna tear u apart baby, could promise diamond even promised pearl honey, know ain't lyin' listen tell world remember, baby, remember remember baby, forever ever ever we'll together i'm forever girl baby, forever ever ever we'll together i'm forever girl baby, forever ever ever we'll together i'm forever girl hey baby, could promise world girl, know love always (hey baby) live 'til forever i'll lovin' i'll lovin' still remember i'm forever girl forever girl remember i'm forever girl",2188
The Living Years,Mike + The Mechanics,"every generation blame one frustration come beating door know i'm prisoner father held dear know i'm hostage, hope fear wish could told living year crumpled bit paper filled imperfect thought stilted conversation i'm afraid that's we've got say see say perfect sense can't get agreement present tense talk different language talking defence say loud (say loud) say clear (say clear) listen well hear late (it's late) die (oh, die) admit see eye eye open quarrel present past sacrifice future bitterness last yield fortune sometimes see fate may new perspective different day give up, give may okay say loud (say loud) say clear (say clear) listen well hear late (it's late) die (oh, die) admit see eye eye morning father passed away get tell thing say think caught spirit later year i'm sure heard echo baby's new born tear wish could told living year say loud (say loud) say clear (say clear) listen well hear late (it's late) die (oh, die) admit see eye eye",1630
Eternal Flame,The Bangles,"close eyes, give hand, darling feel heart beating? understand? feel same? dreaming? burning eternal flame? believe meant be, darling watch sleeping belong feel same? dreaming? burning (burning) eternal (eternal) flame? say name sun shine rain whole life lonely come ease pain wanna lose feelin', oh say name sun shine rain whole life lonely come ease pain wanna lose feelin', oh close eyes, give hand feel heart beating? understand? feel same? dreaming? burning eternal flame? close eyes, give hand, darling feel heart beating? understand? feel same? dreamin'? ah burning eternal flame? close eyes, give hand, darling feel heart beating? understand? (do understand?) feel same? dreaming? ah eternal flame close eyes, give hand, darling (ah-ah) feel heart beating? (ah-ah) understand? (do understand?) feel same? (eh) dreamin'? ah burning eternal flame? close eyes, give hand, darling",1393
Wild Thing,Tone Loc,"let's workin' week 9 5 money weekend come go get live honey rollin' street saw girl pumpin' winked eye got ride , went club, jumpin' introduce loc said ""you're liar"" said ""i got goin' baby doll i'm fire"" took hotel said ""you're king?"" said ""be queen know mean let u wild thing"" wild thing wild thing shoppin' mall looking gear buy saw girl cool rocked world adjust fly looked smiled said ""you plan night?"" said ""hopefully thing go well i'll tonight"" journeyed house one thing led another keyed door cold hit floor looked mother know say hanging string said ""hey two like liked wild thing"" wild thing loved wild thing wild thing please baby baby please posse effect, hangin' always hype crew leave shindig want girl who's type saw luscious little frame, ain't lyin' fella fine sweet young miss cold gave kiss knew mine took limousine still parked outside tipped chauffeur gave ride get jock like static cling that's happens body start slappin' doin' wild thing wild thing wanna wild thing please baby baby please wild thing doin' little show local discotheque fine young chick jock say heck wanted come stage little dance said chill maybe later get chance show finished took around way know good go without word say alone said, ""tone, let tell one thing need $50 make holler, get paid wild thing"" say what? yo love, must kidding walkin' babe break hasta la vista, baby wild thing",2222
When I See You Smile,Bad English,"sometimes, wonder i'd ever make world without clue 'cuz sometimes seems like world closing there's way breaking free and, then, see reach sometimes, wanna give wanna give wanna quit fight and, then, see you, baby! everything's alright everything's alright see smile face world oh! know anything see smile see ray light oh! see shining right rain see smile baby! see smile oh, yeah! baby! there's nothing world could ever touch hand do? like nothing ever knew, hey! rain falling feel 'cuz now! want answer, baby! i'll ever need i'll ever need see smile face world oh! know anything see smile see ray light oh! see shining right rain see smile, baby! baby! see smile sometimes wanna give wanna give wanna quit fight one look you, baby! everything's alright hey! everything's alright right! see smile face world oh! know anything, yeah! see smile see ray light oh! see shining right rain, yeah! see smile, yeah! face world oh! know, anything now! see smile oh, yeah! baby! see smile smile",1594
