,songs,artists,lyrics,length
150,Let the Little Girl Dance,Billy Bland,"(little wallflower shelf) (standing herself) (never nerve take chance) (so let little girl dance) let little girl dance let little girl dance never danced let floor (so let floor) let little girl dance let little girl dance want give try let little girl (so let little girl by) little wallflower shelf standing got nerve take chance let little girl dance let little girl want pas buddy, can't see want dance (she want dance me) (instrumental interlude) little wallflower shelf standing got nerve take chance let little girl dance let little girl want pas buddy, can't see want dance (she want dance me) (little wallflower shelf) (standing herself) (never nerve take chance) let little girl dance (let little girl dance)",1080
151,He'll Have to Stay,Jeanne Black,"glad finally called phone i've waiting tonight alone broke date made yesterday there's someone else who's here, he'll stay found another love know true hold much tenderly loving you's worth price pay someone else place, he'll stay loved heart must say broke heart many time go hear jukebox playing soft low someone else, know love blind, i'm kind that's i'll say hang up, i'm arms, he'll stay someone else place, he'll stay",755
152,Theme from The Apartment,Ferrante & Teicher,"mama died havin' papa tried raise took drinkin' three i'd follow guitar along street mobile he'd sing drink lollipop night sat bar singin' played old railroad watch dancin' passed around worn hat, they're pitchin' quarter oh proud old dan tucker's daughter thing seemed go bad worse grew sadly older papa looked failin' day pride always felt slowly turned pity lord know broke heart time hear say get away old dan tucker take dime take quarter get away old dan tucker take wine take daughter papa died today cold gray mobile mornin' stand alone cryin' grave single soul mobile came wish well journey least papa's goin', one say hey, get away old dan tucker take dime take quarter get away old dan tucker take wine take daughter",1162
153,Volare,Bobby Rydell,"volare, oh oh cantare, oh oh oh oh let's fly way cloud away maddening crowd sing glow star know lover enjoy peace mind let u leave confusion disillusion behind like bird feather, rainbow together we'll find volare, oh oh cantare, oh oh oh oh wonder happy heart sings love given wing let's fly way cloud away maddening crowd sing glow star know lover enjoy peace mind let u leave confusion disillusion behind like bird feather, rainbow together we'll find volare, oh oh cantare, oh oh oh oh wonder happy heart sings love given wing pienso che un sueno parecido volvera ma pintaba la manos la cara d'azul de improviso el viento rapido llevo hizo volar en el cielo infinito volare oh oh cantare oh oh nel blu dipinto di blu felice di stare lassu volando, volando feliz yo encuentro ma alto ma alto que el sol mientras el mundo se aleja despacio despacio de mi una musica dulce tocada solo para mi volare oh oh cantare oh oh oh oh nel blu di pinto di blu felice di stare lassu",1211
154,A Million to One,Jimmy Charles,"million one that's folk think love million one say love fade like yesterday's flower they're betting everything love survive they're hoping (hoping) time we'll forget others' lie million one feel we're young know meaning love million one they've forgotten dream we're dreaming we'll forgive love said done dear one, million, million one (but we'll forgive love them) said done dear one, million, million one",632
155,The Village of St. Bernadette,Andy Williams,"i've traveled far, land sea beautiful place happened one little town i'll never forget lourdes, village st. bernadette ave, ave, ave ma-ri-a ave, ave, ave ma-ri-i-ia there, like dream, wonderful night gazed grotto aglow light feeling divine swept fell knee whispered prayer ave, ave, ave ma-ri-a ave, ave, ave ma-ri-i-ia home, i'm happy telling place i've traveled see one little town i'll never forget lourdes, village st. bernadette ave, ave, ave ma-ri-a ave, ave, ave ma-ri-i-ia ave, ave, ave ma-ri-a ave, ave, ave ma-ri-a",645
157,The Old Lamp-Lighter,The Browns,"made night little brighter wherever would go old lamplighter long, long ago snowy hair much whiter beneath candle glow old lamplighter long, long ago hear patter foot came toddling street smile would hide lonely heart see sweetheart park he'd pas lamp leave dark remembering day used recall dream new love someone love walk alone memory made night little brighter wherever would go old lamplighter long, long ago look sky understand reason little star night aglow turn night turn dawn near little man loved long ago made night little brighter wherever would go old lamplighter long, long ago...",924
158,Devil or Angel,Bobby Vee,"devil angel, can't make mind one i'd like wake find devil angel dear, whichever miss you, miss you, mi-i-iss devil angel please say mi-i-ine love leave me, i'll go mind devil angel dear, whichever need you, need you, need look like angel smile divine keep guessin' ever mine? devil angel please say mi-i-ine love leave, i've made mind devil angel dear, whichever love you, love you, i-i lo-o-ove devil angel please say mi-i-ine love leave, i've made mind devil angel dear, whichever love you, love you, love",741
159,Down by the Station,The Four Preps,"station early morning met little girl cute could turned charm told loved said would always number one she'd always number one girl said there'd number two three malt shop shortly thereafter met another girl cute could looked number one see told number two girl went drug store nearly lost life saw girlfriends, one two standing together, knew trouble i'm clever guy knew went station early morning wooing woman cute could saw another girl lookin kinda pretty said i'm one two love number three said love number three here's said head station early morning catch trolley car go sea want love that's true sir, love like sir true one two true station early morning see little puffer-bellies row see station master pull little handle chug, chug, woo, woo, go",1276
160,Forever,The Four Preps,"soldier's song, marching on, hoping see home die see smile one time sometimes question whether shit matter puttin' substance something world used instant gratification found instrumental phone vacation ib sent year ago probably heard before, slept it, know? shit always connect soon press play time gotta step away, livin' let time provide new prescription, givin' truer vision dibble-dabble religion homie constantly telling 'bout quran, puttin' read page recognize wisdom ain't got discipline stickin' i'm way london, got show seven digit i'm wonderin' become biggest critic? wanna biggest fan, like nobody know jam today son said, ""dad, let go hand"" reminded one day he's gonna man job make sure he's equipped gotta make sure bitch 'cause nigga bound try said toughest growin' up, would lyin' fear gettin' punched everybody eyein' add constant fear dyin' gunshot wound, violent type ending kept tough demeanor surface mostly pretendin' luckily bluff workin' way often sometimes nigga pulled card, tryna expose fraud reputation stake scufflin' save face couple wins, couple losses, broken quick call last scrap puff daddy, would've thought it? bought nigga album seventh grade played much would've thought favorite rapper puff back ain't know shit, know much ignorance bliss innocence ignorance introduced currency clip bad lick nigga servin' three six, shit soldier's song, marching on, hoping see home die see smile one time soldier's song could one lean time right wrong long grow closer? grow closer? grow closer? grow closer? something inside me's tryna crawl surface something suddenly smothering, stopping stubbornly getting way (way), way (way) drowning wave (drowning out) i've got reason believe i'll turn fine soldier's song lord, please guide step watch us, cover u every move make alignment purpose please fill u spirit keep u forever present presence make strongest father teach u lead show u love",2813
161,Image of a Girl,The Safaris,"lie awake resting day hear clock passing time away oh, sleep, mind image girl hope find look straight ceiling thinking girl love oh, would soon exists? image girl i've always wished twisted turned, ooh, trying sleep could weep found image yet girl met clock still passing time know someday mine know she'll always bring love image girl love",617
162,Kiddio,Brook Benton,"told you, baby, feel one word close deal baby, queen heart please gimme love got a-won'tcha say yes?, don'tcha say make feel good, kiddio maybe i'm wastin' time can't get mind could make feel good know could would a-won'tcha say yes?, don'tcha say make feel good, kiddio wrote six-page letter called phone started talkin' 'bout weather kiddio, don'tcha know that's wrong? can't stand playin' 'round help up, let kiss baby, tell love me, let know a-won'tcha say yes? don'tcha say make feel good, kiddio wrote six-page letter even called phone started talkin' 'bout weather kiddio, don'tcha know that's wrong? can't stand playin' 'round help up, let a-kiss baby, tell love me, let know a-won'tcha say yes?, don'tcha say make feel good, kiddio make feel so-uh-oh oh good , so, good, kiddio",1051
163,Mission Bell,Donnie Brooks,"love higher mission bell (how deep) deeper wishin' well (how strong) stronger magic spell love (uh huh) wider widest sea (how long) longer memory (how sweet) sweeter honey tree love (uh huh), oh, oh, oh (uh huh) love (uh huh), mm, mm, mm (uh huh) give heart gold heavenly magic touch cherish, have, hold need love much (say love me) (say pretty word give love you) love warmer day spring (how bright) brighter diamond ring (how brave) braver mighty king love (uh huh) taller tallest tree (how soft) softer summer breeze ask you, please give (uh huh) love (uh huh) love (uh huh), sweet love (uh huh) (how high) higher mission bell (how deep) deeper wishin' well (how strong) stronger magic spell (how wide)",954
164,I Love the Way You Love,Marv Johnson,"sweet thing like holding hand i'm low let know always understand and, know (i love) way love make feel fine love way love know mine, mine i'll never wrong, i'll never make-a cry-why-why stop loving know i'll die love (i love way love) yay, make feel (it make feel) fine love (i love) way love know mine, mine folk tell ""find somebody new"" care people may say, i'm stickin' right love (i love way love) yay, yay, know (it make feel fine) love (i love) way love know mine, mine (i love way love) (it make feel fine) (i love way love) (because know mine, mine) folk tell ""find somebody new"" care people may say, i'm stickin' right love (i love way love) yay, make feel ( make feel) fine love (i love) way love know mine, mine one time! love (i love way love) way hold me, baby (it make feel fine) yay, a-yay, a-yay love (i love) way love",1326
166,Tell Laura I Love Her,Ray Peterson,"laura tommy lover wanted give everything flowers, present wedding ring saw sign stock car race thousand dollar prize read get laura phone mother tommy said tell laura love tell laura need tell laura may late i've something cannot wait drove car racing ground youngest driver crowd roared started race round track drove deadly pace no-one know happened day car over-turned flame pulled twisted wreck dying breath heard say tell laura love tell laura need tell laura cry love never die chapel laura prays tommy passed away laura lived died alone chapel hear cry tell laura love tell laura need tell laura cry love never die (x 2)",1017
167,Mama,Connie Francis,"evening shadow fall lovely day longing recall year spent mama, solo per te la mia canzone vola mama, sarai con tu non sarai più sola quanto ti voglio bene queste parole d'amore che ti sospira il mio cuore forse non si usano più mama, la canzone mia più bella sei tu sei tu la vita e per la vita non ti lascio mai più safe glow love sent heaven nothing ever replace warmth tender embrace oh, mama, day we're together i'll live memory day we're together",626
168,Footsteps,Steve Lawrence,"say goodbye i'm lonely could feel teardrop fall hear footstep hall walkin' away say goodbye make cry now, every day wonder why, oh why, oh why, oh footsteps, footstep footsteps, footstep haunting memory pray come back say evening prayer hear footstep stair walkin' away say goodbye make cry now, every day wonder why, oh why, oh why, oh footsteps, footstep footsteps, footstep footsteps, footstep footstep",615
169,So Sad,The Everly Brothers,"used good time together feel slip away make cry see love die sad watch good love go bad remember used feel, dear? said nothing could change mind break heart, see u part sad watch good love go bad wonder feel blue know certain i'm losing remember used feel, dear? said nothing could change mind break heart, see u part sad watch good love go bad sad watch good love go bad",538
170,That's All You Gotta Do,Brenda Lee,anytime feeling low got place go blue here's gotta call telephone tell alone i'll come runnin' baby thats gotta gotta lonesome call i'll come runnin' fast i'll love squeeze uh huh huh i'll try please cause baby want lovin' man i've waiting chance needing start romance feel way here's gotta tell feel tell love real i'll give heart baby thats gotta gotta lonesome call i'll come runnin' fast i'll love squeeze uh huh huh i'll try please cause baby want lovin' man i've waiting chance needing start romance feel way here's gotta tell feel tell love real i'll give heart baby thats gotta,1107
171,Walking to New Orleans,Fats Domino,"time, i'm walkin' new orleans i'm walkin' new orleans i'm goin' need two pair shoe get walkin' blue get back new orleans i've got suitcase hand now, ain't sham? i'm leavin' today yes, i'm goin' back home stay yes, i'm walkin' new orleans used honey 'til spent money use cry i'll see you, cause i'm walkin' new orleans i've got time talkin' i've got keep walkin' new orleans home that's reason i'm gone yes, i'm walkin' new orleans i'm walkin' new orleans i'm walkin' new orleans i'm walkin' new orleans",671
172,Among My Souvenirs,Connie Francis,"there's nothing left day used they're memory among souvenir letter sad blue, photograph two see rose among souvenir token rest within treasure chest though best give consolation count apart teardrop start find broken heart among souvenir count apart teardrop start find broken heart among souvenir",463
173,Swingin' School,Bobby Rydell,"chicks, kicks, cats, cool, yeah school! yeah, yeah, yeah go swingin' school chick kick cat cool well dance greatest dress latest wo, wo, wo go swingin' school ah, bobby ah! uh huh! everythings cool, thats cool we're glad go swingin' school little chick heart's desire well way kiss put school fire ah chicks, kicks, cats, cool, yeah school! yeah yeah yeah wail! school rendezvous gonna plan thing we're gonna trade bookin' cookin' i'll quit lookin' day school ah, bobby ah! ah hah! everythings cool, thats cool we're glad go swingin' school live love golden rule we're gonna settle swingin' school well house car, swimmin' pool wo, wo, wo go swingin' school said wo, wo, wo go swingin' school",915
174,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington,"gonna give good kiss like (what?) honey, know i'm gonna give 'em right back (so give 'em here) that's kissin' good way (that's kissin' good way) ah, that's kissin' good way (that's kissin' good way) haha, now, that's kissin' good way mess around fall love (don't mess around, mess around) gonna start huggin' tight mess around, hug right 'cause that's huggin' good way (that's huggin' good way) (ah, bet bottom dollar) brook, that's huggin' good way (that's huggin' good way) that's huggin' good way mess around fall love (don't mess around, mess around) haha, dig this, remember this? know called phone (yeah, baby) alone yes, came around wooin' (admit it, admit it) ah, better ask somebody know doin', yeah kissed rocked soul come around knockin' rock roll 'cause that's rockin' good way (that's rockin' good way) (i love rockin') yes, that's rockin' good way (ooh yeah) (that's rockin' good way) that's rockin' good way, ah, mess around fall love (don't mess around, mess around) well, know called phone (mhm) alone (that's called you, baby) came around a-wooin' better ask somebody know doin' mmm, kissed rocked soul come around knockin' rock roll that's rockin' good way (that's rockin' good way) (ah yeah) dinah, that's rockin' good way (i'm you, baby) (that's rockin' good way) that's rockin' good way mess around fall love better know it, baby (haha, i'm diggin' you) rockin' good way hahaha, love rock, 'bout you? ah, baby, got take haha, ha, ain't somethin'? dig rock? say (cool) stay spot (oh yeah) alright oh yeah, like spot, know? alright (alright) got it, man",2072
175,Stairway to Heaven,Neil Sedaka,climb way high climb way high climb way high well well well heavenly angel want girl kissed sweet sweet lip knew world chorus i'll build stairway heaven i'll climb highest star i'll build stairway heaven cause heaven well well well rainbow that's i'm going climb way high bluebird fly i'm going love time chorus (x2) well well well got going going leave world behind every day heavenly way going drive mind chorus i'll build stairway heaven cause heaven climb way high,710
176,My Home Town,Paul Anka,took little trip home town stopped look around walked along thorough-fare music playing everywhere music came within heart happen start know fell love guess answer lie oh feeling heart reeling bell ringing bird singing music keep go night break dawn hear bird tree hear sing melody sings ya-ya-ya-ya... oh feeling heart reeling bell ringing bird singing music keep go night break dawn every evening sun go i'm love home town sing ya-ya-ya-ya...,809
177,Georgia on My Mind,Ray Charles,"georgia georgia whole day (the whole day through) old, sweet song keep georgia mind (georgia mind) said a-georgia georgia song (a song you) come sweet clear moonlight pine arm a-reach eye smile tenderly still, peaceful dreams, see road lead back said, georgia, oh, georgia peace find (no peace find) old, sweet song keep georgia mind (georgia mind, oh) arm a-reach eye smile tenderly still, peaceful dreams, see road lead back oh, oh georgia georgia peace, peace find old, sweet song keep georgia mind (georgia mind) said, old, sweet song keep georgia mind",795
178,Cherry Pie,Skip & Flip,"nah, nah, nah nah, nah, nah, whoa-oh, whoa-oh nah, nah, nah nah, nah, nah, whoa-oh, whoa-oh cherry, nah-nah-nah cherry pie nah-nah-nah-nah-nah cherry, nah-nah-nah cherry pie nah-nah-nah-nah-nah cherry, nah-nah-nah cherry pie , whoa good nah, nah nah, nah, nah, whoa-oh, whoa-oh sugar, nah-nah-nah sugar plum nah-nah-nah-nah-nah sugar, nah-nah-nah sugar plum nah-nah-nah-nah-nah sugar, nah-nah-nah sugar plum, sweet come nah, nah, nah, nah, nah, nah (da, da, da, da, da) like little jack horner sat, sat, sat corner eating cherry, cherry pie put thumb pull plum guess i'm great he, whoa-oh, whoa-oh give nah-nah-nah give nah-nah-nah-nah-nah give nah-nah-nah give nah-nah-nah-nah-nah give nah-nah-nah give cherry, cherry pie nah, nah nah, nah, nah, whoa-oh, whoa-oh nah, nah, nah nah, nah, nah cherry pie nah, nah, nah nah, nah, nah cherry pie fade nah, nah, nah nah, nah, nah cherry pie",981
179,Wonderful World,Sam Cooke,"know much history know much biology know much science book know much french took know love know love me, wonderful world would know much geography know much trigonometry know much algebra know slide rule know one one two one could wonderful world would now, claim student i'm trying maybe student, baby win love know much history know much biology know much science book know much french took know love know love me, wonderful world would la ta ta ta ta ta ta (history) hmm-mm-mm (biology) whoa, la ta ta ta ta ta ta (science book) hmm-mm-mm (french took) yeah, know love know love me, wonderful world would",1058
184,Young Emotions,Ricky Nelson,young emotion mixed emotion wold love confusion reign world hope laughter tear pain time gentle breezed hurricane world full doubt love work young emotion strange emotion though we're brave sometimes afraid knowing memory made we'll face new tomarrow dear undismayed love keep u together love help u weather young emotion though we're brave sometimes afraid knowing memory made we'll face new tomarrow dear undismayed love keep u together love help u weather young emotion,710
185,Dreamin',Johnny Burnette,"dreamin', i'm always dreamin' dreamin' love mine searchin', i'm always searchin' hopin' someday i'll find someone, someone love someone need well, i'll keep dreamin' keep right dreamin' dreamin' 'til dreamin' come true ooh, ooh-ooh-ooh, ooh, ooh-ooh-ooh, ooh-ooh-ooh ooh, ooh-ooh-ooh, ooh, ooh-ooh-ooh, ooh-ooh-ooh dreamin', i'm always dreamin' dreamin' love mine searchin', i'm always searchin' hopin' someday i'll find someone, someone love oh, someone need well, i'll keep dreamin' keep right dreamin' dreamin' 'til dreamin' come true ooh, ooh-ooh-ooh, ooh, ooh-ooh-ooh, ooh-ooh-ooh ooh, ooh-ooh-ooh, ooh, ooh-ooh-ooh, ooh-ooh-ooh ooh, ooh-ooh-ooh",750
186,Poetry in Motion,Johnny Tillotson,"see baby, see poetry, poetry motion poetry motion, walkin' side lovely locomotion keep eye open wide poetry motion, see gentle sway wave ocean could never move way love every movement there’s nothing would change need improvement much nice rearrange poetry motion, dancing close flower devotion swaying gracefully oh, a-whoa, whoa, whoa, whoa, whoa a-whoa, whoa, whoa, whoa, whoa a-whoa, whoa, whoa, whoa, whoa a-whoa poetry motion, see gentle sway wave ocean could never move way love every movement there’s nothing would change need improvement much nice rearrange poetry motion, adore number nine love potion could make love oh, a-whoa, whoa, whoa, whoa, whoa a-whoa, whoa, whoa, whoa, whoa a-whoa, whoa, whoa, whoa, whoa a-whoa, whoa, whoa, whoa, whoa",947
188,You Talk Too Much,Joe Jones,talk much worry death talk much even worry pet talk talk much talk people know talk people wherever go talk talk much talk people never seen talk people make scream talk talk much talk much worry death talk much even worry pet talk talk much talk people know talk people wherever go talk talk much talk people never seen talk people make scream talk talk much,671
190,When Will I Be Loved,The Everly Brothers,i've made blue i've lied loved i've turned i've pushed 'round loved meet new girl want mine always break heart two happens every time i've cheated mistreated loved meet new girl want mine always break heart two happens every time i've cheated mistreated loved loved loved,480
191,Let's Think About Living,Bob Luman,"every song i've heard lately fellow get shot baby best friend die likely half song cat's cry ready die we've lost happy people i'm a-wondering let's think living let's think loving let's think whoopin' hoppin boppin' lovie, lovie dovin' let's forget whinin' cryin' shooting dying fellow switchblade knife let's think living let's think life lost old marty robbins old el paso little back miss patti page one a-wearing black cathy's clown's got phil feel like could die keep a-losin' singer like i'll one buy think living let's think loving let's think whoopin' hoppin boppin' lovie, lovie dovin' let's forget whinin' cryin' shooting dying fellow switchblade knife let's think living let's think life (alright) let's think living let's think loving let's think whoopin' hoppin boppin' lovie, lovie dovin' let's forget whinin' cryin' shooting dying fellow switchblade knife let's think living let's think life now, let's go let's think living let's think loving let's think whoopin' hoppin boppin' lovie, lovie dovin' let's forget whinin' cryin' shooting dying fellow switchblade knife let's think living let's think life let's think living let's think life",1790
192,Heartaches by the Number,Guy Mitchell,"heartache number, trouble score everyday love less, day love yes, i've got heartache number, love can't win day stop counting, that's day world end heartache number one left never knew could hurt way heartache number two came back came back never meant stay yes, i've got heartache number, trouble score everyday love less, day love yes, i've got heartache number, love can't win day stop counting, that's day world end heartache number three called said coming back stay hopeful heart waited knock door waited, must lost way yes, i've got heartache number, trouble score everyday love less, day love yes, i've got heartache number, love can't win day stop counting, that's day world end",1084
193,My Little Corner of the World,Anita Bryant,"oh, come along little corner world dream little dream little corner world tonight, love we'll share sweet embrace we'll soon forget there's place care stay little corner world hide away little corner world always knew i'd find someone like welcome little corner world care stay little corner world hide away little corner world always knew i'd find someone like welcome little corner world",592
194,Doggin' Around,Jackie Wilson,"better stop yeah doggin' around stop yeah, i'm going put cause, can't take much longer heart getting weak, getting stronger keep upset, head's whirl wanna girl better stop yeah doggin' around cause stop yeah, i'm gonna put know go nights, ball sometimes make home mind real good time trying do, trying make lose mind better stop yeah, doggin' around stop i'm gonna put yes put down, want i'll put down, love baby, still, i'll put",741
195,Little Bitty Girl,Bobby Rydell,"big, big world somewhere big big world there's got little bitty girl i've got big big love little bitty girl big big world be? i've searched high low every place go ask everyone know love me? big big dream bout little bitty girl big big world be? big, big world somewhere big big world there's got little bitty girl i've got big big love little bitty girl big big world be? i've searched high low every place go ask everyone know love me? big big dream bout little bitty girl big big world be?",779
196,Money (That's What I Want),Barrett Strong,"best thing life free give bird bee need money (that's want) that's want (that's want) that's want (that's want) that's want (that's want) love give thrill love pay bill need money (that's want) that's want (that's want) that's want (that's want) that's want (that's want) money get everything, true get, can't use need money (that's want) that's want (that's want) that's want (that's want) that's want (that's want) money (that's want, uh-huh-huh) lot money (that's want, uh-huh-huh) whole lot money (that's want, uh-huh-huh) uh huh (that's want, uh-huh-huh) woah yeah (that's want, uh-huh-huh) give money (that's want, uh-huh-huh) oh, lot money (that's want, uh-huh-huh) lean greens, yeah (that's want, uh-huh-huh) that's right, baby, that's mean (that's want, uh-huh-huh) woah yeah (that's want, uh-huh-huh) give money (that's want, uh-huh-huh) lot money (that's want, uh-huh-huh)",1271
197,Stay,Maurice Williams and the Zodiacs,"(stay) ah, little bit longer (stay) (please) please, please, please tell going daddy mind mommy mind another dance, yeah one (one time) oh, stay little bit longer? please let dance say (say will) place sweet lip mine? say love time? (stay) oh yeah, little bit longer (stay) (please) please, please, please tell going come on, come on, come on, stay, yeah come on, come on, come on, stay, yeah come on, come on, come on, stay, whoop come on, come on, come on, stay, mama mama",655
199,Sandy,Larry Hall,"sandy sandy took every sweet thing, like sugar spice ice cream candy, everything nice put together, gave name sandy sandy i'm fool sandy eye like heaven, lip divine young love tender, gentle kind everywhere go, find sandy sandy i'm fool sandy took every sweet thing, like sugar spice ice cream candy, everything nice put together, gave name oh, sandy! sandy i'm fool sandy sandy, sandy, sandy sandy, sandy, sandy, sandy sandy, sandy, sandy, sandy sandy, sandy, sandy, sandy sandy, sandy, sandy",616
200,Tossin' and Turnin',Bobby Lewis,"baby baby something sleep last night a-thinkin' baby, thing right well, tossin' turnin' turnin' tossin' tossin' turnin' night kicked blanket floor turned pillow upside never, never tossin' turnin' turnin' tossin' tossin' turnin' night jumped bed turned light pulled shade went kitchen bite rolled shade turned light jumped back bed middle night clock downstairs strikin' four get mind heard milkman door 'cause tossin' turnin' turnin' tossin' tossin' turnin' night jumped bed turned light pulled shade went kitchen bite rolled shade turned light jumped back bed middle night clock downstairs strikin' four get mind heard milkman door 'cause tossin' turnin', hey-hey-hey-hey turnin' tossin' day-day-day tossin', hey-hey-hey turnin' tossin' tossin' turnin' babe-babe-babe",1228
201,I Fall to Pieces,Patsy Cline,fall piece time see fall piece friend? want act like we've never kissed want forget (to forget) pretend we've never met (never met) i've tried i've tried yet walk fall piece fall piece time someone speaks name (speaks name) fall piece time add flame tell find someone else love someone who'll love (love too) way used (used do) time go someone new walk fall piece walk fall piece,628
202,Michael,The Highwaymen,"(michael, row boat ashore, hallelujah) (michael, row boat ashore, hallelujah) sister, help trim sail (hallelujah) sister, help trim sail (hallelujah) (michael, row boat ashore, hallelujah) (michael, row boat ashore, hallelujah) river jordan chilly cold (hallelujah) chill body soul (hallelujah) (michael, row boat ashore, hallelujah) (michael, row boat ashore, hallelujah) river deep river wide (hallelujah) milk honey side (hallelujah) (michael, row boat ashore, hallelujah) (michael, row boat ashore, hallelujah)",627
203,Crying,Roy Orbison,"alright could smile saw last night held hand tight stopped say, ""hello"" oh, wished well tell i'd cry cry said, ""so long"" left standing alone alone crying, cry crying, cry hard understand touch hand start cry thought true, true love even but, darling, do? love i'll always cry cry yes, gone moment i'll crying, cry crying, cry yeah, i'm crying, cry",699
204,Runaway,Del Shannon,"walk along wonder a-what went wrong love love strong still walk think thing we've done together a-while heart young i'm a-walkin' rain tear fallin' feel pain wishin' end misery wonder wah-wah-wah-wah-wonder why, why, why, why, ran away wonder a-where stay-ay little runaway a-run, run, run, run, runaway i'm a-walkin' rain tear fallin' feel pain wishin' end misery wonder wah-wah-wah-wah-wonder why, why, why, why, ran away wonder a-where stay-ay little runaway a-run, run, run, run, runaway a-run, run, run, run, runaway a-run, run, run, run, runaway",789
205,My True Story,The Jive Five,"cry, cry, cry whoa, uh, oh, oh, oh, oh cry, cry, cry whoa, uh, oh, oh, oh, oh story, yeah must tell two lover bewail must cry, cry, cry, whoa, uh, oh, oh, oh, oh blue away (cry, cry, cry, blue away) name sue, yeah name earl love lorraine wonderful girl must cry, cry, cry, whoa, uh, oh, oh, oh, oh blue away (their blue away) love make happy love make cry love make tear fall lover say goodbye cry, cry, cry, whoa, uh, oh, oh, oh, oh blue away (cry, cry, cry, blue away) story ends, yeah lie name changed dear protect must cry, cry, cry, whoa, uh, oh, oh, oh, oh blue away (cry, cry, cry) mm (whoa, uh blue away) must cry (cry, cry, cry, whoa, uh blue away)",894
206,Pony Time,Chubby Checker,"pony time, get (boogety, boogety, boogety, boogety shoo) hey now, everybody (boogety, boogety, boogety, boogety shoo) union hall (boogety, boogety, boogety, boogety shoo) pony time (boogety, boogety, boogety, boogety shoo) hear call (boogety, boogety, boogety, boogety shoo) so, get it, hoo (don't quit it), get (boogety, boogety, boogety, boogety shoo) pony partner (boogety, boogety, boogety, boogety shoo) big bos line (boogety, boogety, boogety, boogety shoo) well, way (boogety, boogety, boogety, boogety shoo) gonna look real fine (boogety, boogety, boogety, boogety shoo) so, get it, hoo (don't quit it), get (boogety, boogety, boogety, boogety shoo) now, turn left say, ""gee"" turn right say, ""haw"" now, ""gee"", dance, dance, little baby now, ""haw"", yeah oh, baby (oh, baby), oh, baby (oh, baby) pony baby (oh, baby), baby (oh, baby) oh baby (oh, baby), oh baby (oh, baby) (boogety, boogety, boogety, boogety shoo) go see little suzie (boogety, boogety, boogety, boogety shoo) life next door (boogety, boogety, boogety, boogety shoo) doin' pony (boogety, boogety, boogety, boogety shoo) takin' floor (boogety, boogety, boogety, boogety shoo) ee-ah, get it, hoo (don't quit it), get (boogety, boogety, boogety, boogety shoo) pony partner (boogety, boogety, boogety, boogety shoo) big bos line (boogety, boogety, boogety, boogety shoo) way (boogety, boogety, boogety, boogety shoo) gonna look real fine (boogety, boogety, boogety, boogety shoo) so, get it, hoo (don't quit it), uh, get (boogety, boogety, boogety, boogety shoo) ee-ah, turn left say, ""gee"" turn right say, ""haw"" now, ""gee"", dance, dance, little baby now, ""haw"", yeah oh, baby (oh, baby), oh, baby (oh, baby) pony baby (oh, baby), baby (oh, baby) oh baby (oh, baby), oh baby (oh, baby) (boogety, boogety, boogety, boogety shoo)",2087
208,Raindrops,Dee Clark,"oh, raindrop many raindrop feel like raindrop falling eye-eyes falling eye since love left i'm alone would bring back know gone know gone must cloud head rain keep falling eye-eyes oh, can't teardrop man ain't supposed cry must raindrop many raindrop feel like raindrop falling eye-eyes falling eye oh, must cloud head rain keep falling eye-eyes oh, can't teardrop man ain't supposed cry must raindrop many raindrop feel like raindrop falling eye-eyes falling eye keep fallin' fallin' eye whoo, keep fallin' eye falling eye",833
209,Wooden Heart,Joe Dowell,"can't see, love please break heart two that's hard 'cause wooden heart say goodbye know would cry maybe would die 'cause wooden heart string upon love mine always start treat nice, treat good, treat like know 'cause i'm made wood wooden heart",423
211,Take Good Care of My Baby,Bobby Vee,"tear fallin' 'cause taken away though really hurt there's somethin' i've got say take good care baby please ever make blue tell love make sure thinkin' everything say oh, take good care baby ever make cry let love surround paint rainbow around let see cloudy sky upon time little girl mine i'd true know she'd never so, take good care baby kind discover really love send baby back home well, take good care baby kind discover really love send baby back home oh, take good care baby well, take good care baby take good care baby",924
212,Running Scared,Roy Orbison,"runnin' scared place go afraid might show yeah, runnin' scared, would do? came back wanted runnin' scared, feelin' low runnin' scared, love runnin' scared, afraid lose came back one would choose standing sure himself, head air heart breaking, one would turned around walked away",445
213,Dedicated to the One I Love,The Shirelles,dedicated one love i'm far away baby know hard baby hard baby darkest hour dawn night go bed baby whisper little prayer baby tell star dedicated one love life never exactly like want satisfied knowing love there's one thing want especially something everybody need night go bed baby whisper little prayer baby tell star dedicated one love dedicated one love,692
215,Will You Love Me Tomorrow,The Shirelles,"tonight mine completely give love sweetly tonight light love eye love tomorrow? lasting treasure moment's pleasure? believe magic sighs? still love tomorrow? tonight word unspoken say i'm one heart broken night (when night) meet morning (meets morning) sun? i'd like know love love sure tell now, ask still love tomorrow? tell now, ask still love tomorrow? still love tomorrow? still love me—",682
217,Where the Boys Are,Connie Francis,"boy someone wait smilin' face, warm embrace, two arm hold tenderly boy true love he's walking street town, know he's lookin' crowd million people i'll find valentine i'll climb highest steeple tell world he's mine 'til hold me, i'll wait impatiently boy boy boy someone wait 'til hold me, i'll wait impatiently boy boy boy someone wait",584
